FacilityName,RegionName,Year,Quarter,WaitTimeMinutes,DistanceToFacilityKM,PopulationCovered
Peter Lougheed Centre,NE,2024,Q2,31,3.82,1351
South Health Campus,SE,2024,Q2,65,7.85,1872
South Health Campus,SE,2024,Q4,77,11.39,1527
Foothills Medical Centre,NW,2024,Q2,45,10.28,966
Foothills Medical Centre,NW,2024,Q2,113,7.27,1286
Rockyview General Hospital,SW,2024,Q1,168,11.97,1866
Peter Lougheed Centre,NE,2024,Q4,33,5.48,1388
Foothills Medical Centre,NW,2024,Q1,82,0.5,767
Foothills Medical Centre,NW,2024,Q4,142,1.26,628
Rockyview General Hospital,SW,2024,Q3,48,10.37,1736
South Health Campus,SE,2024,Q3,61,9.23,1652
Foothills Medical Centre,NW,2024,Q3,76,7.46,640
Foothills Medical Centre,NW,2024,Q1,129,5,1441
Rockyview General Hospital,SW,2024,Q2,23,13.28,1239
South Health Campus,SE,2024,Q4,141,2.76,1442
Foothills Medical Centre,NW,2024,Q3,65,14.3,784
Rockyview General Hospital,SW,2024,Q2,85,10.83,1387
Peter Lougheed Centre,NE,2024,Q3,55,11.05,683
Foothills Medical Centre,NW,2024,Q4,168,11.24,1007
South Health Campus,SE,2024,Q1,120,3.47,1385
Rockyview General Hospital,SW,2024,Q3,25,4.16,1526
Rockyview General Hospital,SW,2024,Q3,59,0.5,1168
Rockyview General Hospital,SW,2024,Q4,144,2.63,1747
Peter Lougheed Centre,NE,2024,Q2,149,5.67,659
Foothills Medical Centre,NW,2024,Q1,174,8.37,1399
Peter Lougheed Centre,NE,2024,Q1,119,0.79,1190
Foothills Medical Centre,NW,2024,Q2,87,11.68,732
South Health Campus,SE,2024,Q1,125,8.1,1693
South Health Campus,SE,2024,Q1,32,9.08,1681
Foothills Medical Centre,NW,2024,Q3,144,4.23,1381
Foothills Medical Centre,NW,2024,Q3,27,6.38,1174
Rockyview General Hospital,SW,2024,Q2,150,18.09,1503
South Health Campus,SE,2024,Q3,62,5.15,953
Foothills Medical Centre,NW,2024,Q2,87,5.77,1959
Foothills Medical Centre,NW,2024,Q4,54,0.5,1211
Foothills Medical Centre,NW,2024,Q3,165,4.23,1004
South Health Campus,SE,2024,Q3,28,15.39,1748
South Health Campus,SE,2024,Q3,14,15.09,903
Rockyview General Hospital,SW,2024,Q4,20,11.01,1984
Foothills Medical Centre,NW,2024,Q4,14,7.29,1596
Foothills Medical Centre,NW,2024,Q1,105,5.27,1562
South Health Campus,SE,2024,Q3,160,13.23,919
Rockyview General Hospital,SW,2024,Q4,105,8.47,641
Peter Lougheed Centre,NE,2024,Q3,83,18.64,908
South Health Campus,SE,2024,Q4,77,4.77,1126
South Health Campus,SE,2024,Q3,98,13.8,607
Peter Lougheed Centre,NE,2024,Q1,56,2.72,1626
Peter Lougheed Centre,NE,2024,Q3,12,7.49,756
Peter Lougheed Centre,NE,2024,Q3,18,9.08,502
South Health Campus,SE,2024,Q3,13,11.48,897
Foothills Medical Centre,NW,2024,Q4,152,7.11,1941
South Health Campus,SE,2024,Q3,73,1.95,546
Foothills Medical Centre,NW,2024,Q2,17,9.86,1705
Foothills Medical Centre,NW,2024,Q3,84,9.94,1093
Peter Lougheed Centre,NE,2024,Q4,30,8.66,1358
Peter Lougheed Centre,NE,2024,Q2,106,6.92,1417
Peter Lougheed Centre,NE,2024,Q2,116,10.88,788
South Health Campus,SE,2024,Q1,83,0.5,501
Foothills Medical Centre,NW,2024,Q2,71,15.13,1869
Peter Lougheed Centre,NE,2024,Q2,84,1.27,1128
South Health Campus,SE,2024,Q4,60,14.73,1885
South Health Campus,SE,2024,Q4,20,10.73,1576
Foothills Medical Centre,NW,2024,Q4,16,6.5,953
South Health Campus,SE,2024,Q3,43,1.94,1717
South Health Campus,SE,2024,Q2,76,5.63,569
Peter Lougheed Centre,NE,2024,Q2,49,9.51,999
Peter Lougheed Centre,NE,2024,Q1,129,7.25,864
Rockyview General Hospital,SW,2024,Q1,98,0.5,579
Foothills Medical Centre,NW,2024,Q2,36,10.59,558
South Health Campus,SE,2024,Q3,27,17.38,1904
Peter Lougheed Centre,NE,2024,Q4,122,13.75,1020
Foothills Medical Centre,NW,2024,Q1,46,9.41,1732
Peter Lougheed Centre,NE,2024,Q3,124,6.22,1568
South Health Campus,SE,2024,Q4,78,9.11,1432
Peter Lougheed Centre,NE,2024,Q4,139,7.68,1756
South Health Campus,SE,2024,Q2,36,2.78,622
South Health Campus,SE,2024,Q4,171,2,1963
Foothills Medical Centre,NW,2024,Q3,105,3.6,1470
Peter Lougheed Centre,NE,2024,Q1,145,8.9,599
Foothills Medical Centre,NW,2024,Q4,44,4.72,980
Foothills Medical Centre,NW,2024,Q3,110,17.7,1763
South Health Campus,SE,2024,Q1,114,0.5,1480
Peter Lougheed Centre,NE,2024,Q2,134,8.6,978
South Health Campus,SE,2024,Q1,172,7.12,1937
South Health Campus,SE,2024,Q1,124,6.2,576
Foothills Medical Centre,NW,2024,Q1,20,7.82,1910
Peter Lougheed Centre,NE,2024,Q1,130,5.31,821
Peter Lougheed Centre,NE,2024,Q4,85,0.5,710
Rockyview General Hospital,SW,2024,Q2,139,9.55,1597
Peter Lougheed Centre,NE,2024,Q3,133,8.16,1244
Rockyview General Hospital,SW,2024,Q2,135,13.26,505
Rockyview General Hospital,SW,2024,Q4,19,3.65,1129
South Health Campus,SE,2024,Q2,65,0.5,858
Foothills Medical Centre,NW,2024,Q4,66,13.23,1161
Foothills Medical Centre,NW,2024,Q3,33,11.36,1344
Foothills Medical Centre,NW,2024,Q4,105,8.29,1468
Foothills Medical Centre,NW,2024,Q2,151,17.52,1440
Rockyview General Hospital,SW,2024,Q1,158,5.98,1286
Foothills Medical Centre,NW,2024,Q4,110,8.76,1671
Foothills Medical Centre,NW,2024,Q2,170,5.32,1439
Peter Lougheed Centre,NE,2024,Q3,64,9.24,1987
Peter Lougheed Centre,NE,2024,Q1,13,9.63,575
Peter Lougheed Centre,NE,2024,Q2,13,0.5,1037
Foothills Medical Centre,NW,2024,Q4,145,4.42,650
Foothills Medical Centre,NW,2024,Q2,16,10.29,1818
South Health Campus,SE,2024,Q1,81,9.9,1142
South Health Campus,SE,2024,Q3,147,6.77,1629
Foothills Medical Centre,NW,2024,Q2,141,0.5,1142
Peter Lougheed Centre,NE,2024,Q3,143,16,1057
South Health Campus,SE,2024,Q1,57,0.5,856
South Health Campus,SE,2024,Q2,55,8.8,1419
Foothills Medical Centre,NW,2024,Q1,165,4.59,1841
Rockyview General Hospital,SW,2024,Q2,138,5.71,1045
Rockyview General Hospital,SW,2024,Q1,76,6.05,1487
Rockyview General Hospital,SW,2024,Q4,141,7.01,1026
Rockyview General Hospital,SW,2024,Q2,136,11.77,926
Peter Lougheed Centre,NE,2024,Q3,162,8.72,1732
Peter Lougheed Centre,NE,2024,Q2,76,7.43,556
Peter Lougheed Centre,NE,2024,Q1,39,1.83,642
South Health Campus,SE,2024,Q4,173,11.18,1653
South Health Campus,SE,2024,Q4,95,14.94,1537
South Health Campus,SE,2024,Q2,134,8.4,1878
Rockyview General Hospital,SW,2024,Q4,19,6.39,1916
South Health Campus,SE,2024,Q2,112,19.3,801
South Health Campus,SE,2024,Q4,125,0.5,1351
Rockyview General Hospital,SW,2024,Q1,16,0.5,1734
Rockyview General Hospital,SW,2024,Q4,22,10.97,1302
South Health Campus,SE,2024,Q4,23,7.43,1938
Foothills Medical Centre,NW,2024,Q4,102,12.98,1956
Foothills Medical Centre,NW,2024,Q4,115,8.76,1262
Foothills Medical Centre,NW,2024,Q3,88,8.9,1658
Foothills Medical Centre,NW,2024,Q1,157,8.83,519
Rockyview General Hospital,SW,2024,Q4,105,13.49,670
Foothills Medical Centre,NW,2024,Q3,78,6.21,1656
Foothills Medical Centre,NW,2024,Q3,88,8.78,1075
Peter Lougheed Centre,NE,2024,Q2,116,3.09,1850
South Health Campus,SE,2024,Q4,151,14.65,1714
Foothills Medical Centre,NW,2024,Q2,153,14.5,795
Rockyview General Hospital,SW,2024,Q1,22,16.46,506
South Health Campus,SE,2024,Q3,103,9.58,942
South Health Campus,SE,2024,Q4,97,8.32,1776
Rockyview General Hospital,SW,2024,Q1,75,6.57,1997
Foothills Medical Centre,NW,2024,Q4,163,5.35,889
Rockyview General Hospital,SW,2024,Q2,174,13.26,1298
Foothills Medical Centre,NW,2024,Q4,29,9.2,814
Rockyview General Hospital,SW,2024,Q3,169,8.05,1227
Peter Lougheed Centre,NE,2024,Q4,94,10.14,1207
South Health Campus,SE,2024,Q3,112,13.62,724
Peter Lougheed Centre,NE,2024,Q1,147,13.85,1486
Rockyview General Hospital,SW,2024,Q3,33,4.82,1984
Peter Lougheed Centre,NE,2024,Q2,98,10.48,847
South Health Campus,SE,2024,Q3,93,12.55,1121
Foothills Medical Centre,NW,2024,Q1,94,9.37,1940
Rockyview General Hospital,SW,2024,Q2,108,3.77,1346
Peter Lougheed Centre,NE,2024,Q1,136,10.43,1665
Foothills Medical Centre,NW,2024,Q3,145,12.14,1598
Rockyview General Hospital,SW,2024,Q4,168,0.5,827
South Health Campus,SE,2024,Q1,124,1.38,617
South Health Campus,SE,2024,Q4,176,0.5,984
Foothills Medical Centre,NW,2024,Q4,96,15.25,1511
Rockyview General Hospital,SW,2024,Q2,85,11.22,1037
Foothills Medical Centre,NW,2024,Q2,85,12.79,1900
Peter Lougheed Centre,NE,2024,Q2,45,9.53,986
Peter Lougheed Centre,NE,2024,Q3,138,0.5,1740
Peter Lougheed Centre,NE,2024,Q4,150,7.39,996
Rockyview General Hospital,SW,2024,Q2,60,9.52,1843
South Health Campus,SE,2024,Q3,84,8.5,748
Rockyview General Hospital,SW,2024,Q3,25,16.81,1934
Foothills Medical Centre,NW,2024,Q3,29,1.38,1303
Foothills Medical Centre,NW,2024,Q3,155,0.5,1002
Rockyview General Hospital,SW,2024,Q1,17,15.53,997
Foothills Medical Centre,NW,2024,Q2,60,5.48,1075
Peter Lougheed Centre,NE,2024,Q1,80,12.98,663
Foothills Medical Centre,NW,2024,Q2,41,0.68,1968
South Health Campus,SE,2024,Q4,34,11.87,867
Foothills Medical Centre,NW,2024,Q2,105,3.08,657
South Health Campus,SE,2024,Q4,64,5.77,1679
South Health Campus,SE,2024,Q3,147,12.31,986
South Health Campus,SE,2024,Q1,143,18.14,1295
Foothills Medical Centre,NW,2024,Q3,63,9.03,1564
Foothills Medical Centre,NW,2024,Q3,119,8.21,1837
Peter Lougheed Centre,NE,2024,Q2,179,6.03,658
Rockyview General Hospital,SW,2024,Q2,25,0.5,521
Foothills Medical Centre,NW,2024,Q2,88,15.75,865
Peter Lougheed Centre,NE,2024,Q1,164,5.2,736
Rockyview General Hospital,SW,2024,Q1,149,11,1811
Peter Lougheed Centre,NE,2024,Q3,148,0.5,874
Peter Lougheed Centre,NE,2024,Q1,34,2.06,1287
South Health Campus,SE,2024,Q4,94,5.7,871
South Health Campus,SE,2024,Q1,132,7.75,1100
Peter Lougheed Centre,NE,2024,Q2,64,8.03,1070
Foothills Medical Centre,NW,2024,Q1,43,17.47,1852
Peter Lougheed Centre,NE,2024,Q3,82,8.68,1241
Foothills Medical Centre,NW,2024,Q4,170,4.18,1721
Rockyview General Hospital,SW,2024,Q3,162,7.14,731
Foothills Medical Centre,NW,2024,Q4,163,15.03,1840
Foothills Medical Centre,NW,2024,Q4,52,5.06,997
South Health Campus,SE,2024,Q2,139,1.65,641
Rockyview General Hospital,SW,2024,Q1,68,9.1,1246
South Health Campus,SE,2024,Q3,98,7.33,1713
Rockyview General Hospital,SW,2024,Q3,85,10.5,1716
Peter Lougheed Centre,NE,2024,Q1,82,6.18,1000
Rockyview General Hospital,SW,2024,Q1,99,7.17,804
Foothills Medical Centre,NW,2024,Q3,77,9.78,1362
Rockyview General Hospital,SW,2024,Q4,119,9.77,1140
Foothills Medical Centre,NW,2024,Q4,108,8.4,626
Rockyview General Hospital,SW,2024,Q1,123,7.2,1953
Peter Lougheed Centre,NE,2024,Q2,124,6.07,1271
Rockyview General Hospital,SW,2024,Q1,24,11.52,1498
Peter Lougheed Centre,NE,2024,Q2,124,15.02,839
Peter Lougheed Centre,NE,2024,Q3,83,11.64,1296
Rockyview General Hospital,SW,2024,Q3,54,5.81,510
Peter Lougheed Centre,NE,2024,Q3,107,13.69,739
South Health Campus,SE,2024,Q1,93,7.44,1082
South Health Campus,SE,2024,Q4,50,2.96,1060
Peter Lougheed Centre,NE,2024,Q2,52,7.48,1508
Peter Lougheed Centre,NE,2024,Q3,169,9.53,1041
South Health Campus,SE,2024,Q4,129,0.5,1932
Peter Lougheed Centre,NE,2024,Q1,89,2.18,1280
Rockyview General Hospital,SW,2024,Q3,21,19.12,1609
Rockyview General Hospital,SW,2024,Q3,45,18.86,1295
Rockyview General Hospital,SW,2024,Q1,66,2.36,1125
South Health Campus,SE,2024,Q3,79,0.5,798
Peter Lougheed Centre,NE,2024,Q4,169,0.5,1043
Peter Lougheed Centre,NE,2024,Q3,58,0.5,1454
Rockyview General Hospital,SW,2024,Q3,156,11.1,1904
South Health Campus,SE,2024,Q1,65,7.8,832
South Health Campus,SE,2024,Q4,22,7,1760
Peter Lougheed Centre,NE,2024,Q1,173,4.91,633
Peter Lougheed Centre,NE,2024,Q4,130,6.77,1480
Foothills Medical Centre,NW,2024,Q3,145,4.22,1906
Peter Lougheed Centre,NE,2024,Q4,66,0.5,1230
Rockyview General Hospital,SW,2024,Q4,20,12.26,1324
Foothills Medical Centre,NW,2024,Q3,16,19.94,1214
Rockyview General Hospital,SW,2024,Q2,126,8.13,1394
South Health Campus,SE,2024,Q4,34,0.5,932
Rockyview General Hospital,SW,2024,Q1,70,2.89,856
Foothills Medical Centre,NW,2024,Q3,123,18.3,1256
Peter Lougheed Centre,NE,2024,Q4,169,11.94,1137
Foothills Medical Centre,NW,2024,Q2,108,9.06,766
Rockyview General Hospital,SW,2024,Q3,132,4.56,1114
South Health Campus,SE,2024,Q4,66,6.74,1646
Foothills Medical Centre,NW,2024,Q2,38,12.96,799
South Health Campus,SE,2024,Q1,108,5.48,1371
Foothills Medical Centre,NW,2024,Q2,146,7.45,932
South Health Campus,SE,2024,Q1,154,10.2,657
Peter Lougheed Centre,NE,2024,Q3,36,11.21,1776
South Health Campus,SE,2024,Q3,142,6.31,1776
Foothills Medical Centre,NW,2024,Q3,22,2.66,1650
Peter Lougheed Centre,NE,2024,Q3,84,16.93,1161
Foothills Medical Centre,NW,2024,Q2,87,7.08,1390
Rockyview General Hospital,SW,2024,Q3,34,18.21,533
South Health Campus,SE,2024,Q3,142,6.18,1089
South Health Campus,SE,2024,Q1,73,2.69,1509
Foothills Medical Centre,NW,2024,Q3,34,14.25,946
Rockyview General Hospital,SW,2024,Q4,33,9.36,1409
South Health Campus,SE,2024,Q4,37,4.21,1932
Rockyview General Hospital,SW,2024,Q4,122,0.5,509
Foothills Medical Centre,NW,2024,Q1,50,11.78,1689
Peter Lougheed Centre,NE,2024,Q2,85,14.04,1257
Foothills Medical Centre,NW,2024,Q4,76,11.79,1987
South Health Campus,SE,2024,Q1,151,6.19,1036
South Health Campus,SE,2024,Q1,83,14.61,1783
Rockyview General Hospital,SW,2024,Q4,83,3.2,1527
Rockyview General Hospital,SW,2024,Q1,108,9.29,1314
South Health Campus,SE,2024,Q4,137,1.73,728
Rockyview General Hospital,SW,2024,Q2,163,4.82,1406
Foothills Medical Centre,NW,2024,Q3,96,1.95,1477
Foothills Medical Centre,NW,2024,Q1,138,7.07,1311
Peter Lougheed Centre,NE,2024,Q4,29,11.94,1758
Peter Lougheed Centre,NE,2024,Q2,169,5.98,1861
Rockyview General Hospital,SW,2024,Q1,36,3.62,1146
South Health Campus,SE,2024,Q3,111,15.98,1120
South Health Campus,SE,2024,Q4,175,7.3,1078
Foothills Medical Centre,NW,2024,Q1,45,13.91,547
Peter Lougheed Centre,NE,2024,Q2,73,2.2,1375
Peter Lougheed Centre,NE,2024,Q3,157,8.25,878
Rockyview General Hospital,SW,2024,Q2,19,7.56,534
South Health Campus,SE,2024,Q2,173,16.92,569
South Health Campus,SE,2024,Q1,65,11.61,510
Foothills Medical Centre,NW,2024,Q3,147,15.39,1346
Peter Lougheed Centre,NE,2024,Q4,38,11.46,1983
Rockyview General Hospital,SW,2024,Q3,145,6.13,1093
South Health Campus,SE,2024,Q3,150,5.96,1684
Rockyview General Hospital,SW,2024,Q4,27,0.86,1536
Peter Lougheed Centre,NE,2024,Q2,91,17.31,1397
Peter Lougheed Centre,NE,2024,Q1,51,6.71,1198
Rockyview General Hospital,SW,2024,Q2,27,0.5,1708
South Health Campus,SE,2024,Q3,137,4.47,1345
South Health Campus,SE,2024,Q2,113,6.69,1298
South Health Campus,SE,2024,Q3,72,3.1,1212
Peter Lougheed Centre,NE,2024,Q4,164,5.95,1957
Rockyview General Hospital,SW,2024,Q2,102,10.91,1299
South Health Campus,SE,2024,Q2,127,8.68,1862
Foothills Medical Centre,NW,2024,Q4,35,1.36,1860
Peter Lougheed Centre,NE,2024,Q1,67,11.79,1157
Foothills Medical Centre,NW,2024,Q1,102,5.92,838
Peter Lougheed Centre,NE,2024,Q3,23,0.5,1033
South Health Campus,SE,2024,Q1,161,7.98,1491
Rockyview General Hospital,SW,2024,Q2,119,15.42,1810
Rockyview General Hospital,SW,2024,Q2,115,4.82,1294
South Health Campus,SE,2024,Q2,111,10.7,1916
South Health Campus,SE,2024,Q3,14,14.13,1276
Rockyview General Hospital,SW,2024,Q3,148,5.65,1528
Foothills Medical Centre,NW,2024,Q1,66,7.99,1490
Foothills Medical Centre,NW,2024,Q4,129,0.5,1825
Rockyview General Hospital,SW,2024,Q2,69,17.73,1062
Rockyview General Hospital,SW,2024,Q1,102,7.3,1595
Peter Lougheed Centre,NE,2024,Q3,94,5.15,1582
Peter Lougheed Centre,NE,2024,Q4,27,7.5,586
South Health Campus,SE,2024,Q2,151,5.81,773
South Health Campus,SE,2024,Q2,45,10.75,1863
Foothills Medical Centre,NW,2024,Q1,50,11.74,998
Peter Lougheed Centre,NE,2024,Q1,10,12.68,912
Foothills Medical Centre,NW,2024,Q4,134,12.4,826
Rockyview General Hospital,SW,2024,Q4,29,6.58,1785
South Health Campus,SE,2024,Q2,78,0.81,1174
Peter Lougheed Centre,NE,2024,Q2,15,2.45,1092
Peter Lougheed Centre,NE,2024,Q4,161,6.83,1076
Peter Lougheed Centre,NE,2024,Q1,59,12.65,1253
Rockyview General Hospital,SW,2024,Q2,171,10.2,567
Foothills Medical Centre,NW,2024,Q3,22,7.08,986
Foothills Medical Centre,NW,2024,Q3,125,9.37,771
Foothills Medical Centre,NW,2024,Q2,161,10.35,1004
South Health Campus,SE,2024,Q1,140,11.01,959
South Health Campus,SE,2024,Q1,33,9.07,1658
Rockyview General Hospital,SW,2024,Q3,44,12.52,1125
South Health Campus,SE,2024,Q3,121,2.77,1389
Foothills Medical Centre,NW,2024,Q4,174,11.03,1286
Rockyview General Hospital,SW,2024,Q1,172,2.73,941
Rockyview General Hospital,SW,2024,Q2,12,8.24,1214
Peter Lougheed Centre,NE,2024,Q3,27,0.5,1213
Peter Lougheed Centre,NE,2024,Q3,101,10.65,1772
Foothills Medical Centre,NW,2024,Q1,164,8.84,1058
Rockyview General Hospital,SW,2024,Q2,79,7.85,1904
Foothills Medical Centre,NW,2024,Q3,171,17.68,1469
Peter Lougheed Centre,NE,2024,Q4,128,3.46,558
Foothills Medical Centre,NW,2024,Q2,88,10.02,698
South Health Campus,SE,2024,Q4,64,1.62,1560
Peter Lougheed Centre,NE,2024,Q4,118,13.3,1256
Peter Lougheed Centre,NE,2024,Q3,100,10.24,1090
South Health Campus,SE,2024,Q2,42,0.5,504
Foothills Medical Centre,NW,2024,Q3,178,6.98,1803
Foothills Medical Centre,NW,2024,Q2,138,8.81,1934
South Health Campus,SE,2024,Q4,24,9.88,1845
Foothills Medical Centre,NW,2024,Q1,23,9.64,1823
Foothills Medical Centre,NW,2024,Q4,81,4.3,1086
South Health Campus,SE,2024,Q2,170,1.34,1887
Foothills Medical Centre,NW,2024,Q2,60,8.06,870
Foothills Medical Centre,NW,2024,Q2,74,5.56,928
Foothills Medical Centre,NW,2024,Q4,105,7.37,1502
Rockyview General Hospital,SW,2024,Q3,138,3.6,628
South Health Campus,SE,2024,Q2,75,9.66,1587
South Health Campus,SE,2024,Q3,145,0.5,803
South Health Campus,SE,2024,Q4,32,12.32,1247
Rockyview General Hospital,SW,2024,Q1,100,9.94,1662
Rockyview General Hospital,SW,2024,Q3,49,11.36,1951
Peter Lougheed Centre,NE,2024,Q4,69,8.44,922
South Health Campus,SE,2024,Q3,179,7.46,734
Peter Lougheed Centre,NE,2024,Q4,154,12.08,1411
Peter Lougheed Centre,NE,2024,Q2,119,15.71,706
Foothills Medical Centre,NW,2024,Q3,44,11.69,1630
Peter Lougheed Centre,NE,2024,Q4,130,2.2,1608
Foothills Medical Centre,NW,2024,Q3,18,6.91,1572
Foothills Medical Centre,NW,2024,Q1,71,10.72,1026
Peter Lougheed Centre,NE,2024,Q3,178,13.21,1324
South Health Campus,SE,2024,Q2,25,7.78,1078
South Health Campus,SE,2024,Q2,98,8.01,599
Rockyview General Hospital,SW,2024,Q4,161,9.17,558
Rockyview General Hospital,SW,2024,Q2,38,0.5,1516
Foothills Medical Centre,NW,2024,Q1,18,1.44,796
South Health Campus,SE,2024,Q4,14,7.82,1529
South Health Campus,SE,2024,Q1,114,3.51,570
Rockyview General Hospital,SW,2024,Q3,109,15.36,1638
Foothills Medical Centre,NW,2024,Q3,101,14.24,1430
South Health Campus,SE,2024,Q4,112,4.32,1168
Rockyview General Hospital,SW,2024,Q2,152,9.87,957
South Health Campus,SE,2024,Q1,90,0.5,1985
Peter Lougheed Centre,NE,2024,Q2,177,3.82,1044
Rockyview General Hospital,SW,2024,Q2,139,12.15,1631
Peter Lougheed Centre,NE,2024,Q4,117,6.9,1025
Peter Lougheed Centre,NE,2024,Q1,153,9.44,565
Rockyview General Hospital,SW,2024,Q1,82,4.03,555
Foothills Medical Centre,NW,2024,Q2,142,5.78,1556
South Health Campus,SE,2024,Q3,133,15.02,1909
Foothills Medical Centre,NW,2024,Q3,28,9.6,868
Peter Lougheed Centre,NE,2024,Q3,26,9.11,652
Rockyview General Hospital,SW,2024,Q3,121,0.61,945
South Health Campus,SE,2024,Q4,79,0.5,852
Rockyview General Hospital,SW,2024,Q2,91,4.04,1917
South Health Campus,SE,2024,Q2,136,5.17,797
Rockyview General Hospital,SW,2024,Q4,67,1.66,858
Foothills Medical Centre,NW,2024,Q1,15,4.55,652
Rockyview General Hospital,SW,2024,Q3,22,10.33,874
Peter Lougheed Centre,NE,2024,Q1,139,5.78,1782
South Health Campus,SE,2024,Q1,65,0.5,1991
Foothills Medical Centre,NW,2024,Q1,171,11.07,1612
Peter Lougheed Centre,NE,2024,Q1,78,8.41,1015
South Health Campus,SE,2024,Q2,137,7.01,1786
Peter Lougheed Centre,NE,2024,Q2,24,16.68,1561
Rockyview General Hospital,SW,2024,Q4,107,14.07,1755
Rockyview General Hospital,SW,2024,Q2,162,6.05,712
Rockyview General Hospital,SW,2024,Q1,66,12.53,651
South Health Campus,SE,2024,Q3,135,1.89,658
Foothills Medical Centre,NW,2024,Q3,172,0.5,1286
Rockyview General Hospital,SW,2024,Q2,74,0.5,1106
South Health Campus,SE,2024,Q4,87,12.65,617
Peter Lougheed Centre,NE,2024,Q1,79,13.2,1516
Peter Lougheed Centre,NE,2024,Q2,112,4.01,639
South Health Campus,SE,2024,Q2,21,10.48,691
Foothills Medical Centre,NW,2024,Q2,144,3.27,660
Rockyview General Hospital,SW,2024,Q4,47,14.76,555
Peter Lougheed Centre,NE,2024,Q2,125,4.04,1518
Peter Lougheed Centre,NE,2024,Q2,78,0.93,766
Foothills Medical Centre,NW,2024,Q1,36,8.01,1537
Foothills Medical Centre,NW,2024,Q1,151,5.56,1381
South Health Campus,SE,2024,Q3,41,13.43,1283
South Health Campus,SE,2024,Q1,121,16.78,1151
Peter Lougheed Centre,NE,2024,Q1,109,5.34,1134
Peter Lougheed Centre,NE,2024,Q4,21,7.91,1296
Foothills Medical Centre,NW,2024,Q2,107,11.67,1422
Rockyview General Hospital,SW,2024,Q4,87,18.29,1237
Foothills Medical Centre,NW,2024,Q1,85,0.5,1741
Foothills Medical Centre,NW,2024,Q2,56,18.5,1673
Rockyview General Hospital,SW,2024,Q2,82,11.71,1984
Rockyview General Hospital,SW,2024,Q3,156,0.5,653
Peter Lougheed Centre,NE,2024,Q4,101,0.5,1094
Foothills Medical Centre,NW,2024,Q4,122,9.37,1136
South Health Campus,SE,2024,Q1,140,1.07,1950
Peter Lougheed Centre,NE,2024,Q2,141,24.93,1061
Foothills Medical Centre,NW,2024,Q4,32,8.86,1428
Rockyview General Hospital,SW,2024,Q4,67,8.55,1396
Peter Lougheed Centre,NE,2024,Q4,44,1.44,771
Rockyview General Hospital,SW,2024,Q1,164,14.02,1827
Rockyview General Hospital,SW,2024,Q2,117,3.57,1915
Foothills Medical Centre,NW,2024,Q2,41,12.54,1934
South Health Campus,SE,2024,Q4,35,8.53,632
South Health Campus,SE,2024,Q4,18,17.16,533
Foothills Medical Centre,NW,2024,Q3,46,8.24,1148
Rockyview General Hospital,SW,2024,Q2,49,3.53,931
Rockyview General Hospital,SW,2024,Q2,138,9.96,550
Foothills Medical Centre,NW,2024,Q4,37,7.92,1532
Foothills Medical Centre,NW,2024,Q2,122,16.78,1509
South Health Campus,SE,2024,Q3,174,8.26,1734
Rockyview General Hospital,SW,2024,Q3,103,15.69,1174
Foothills Medical Centre,NW,2024,Q2,92,8.1,1522
Foothills Medical Centre,NW,2024,Q4,140,18.07,1192
Foothills Medical Centre,NW,2024,Q3,153,14.74,1829
Peter Lougheed Centre,NE,2024,Q3,13,10.96,1484
Foothills Medical Centre,NW,2024,Q1,100,5.27,926
Rockyview General Hospital,SW,2024,Q3,147,9.66,1714
South Health Campus,SE,2024,Q1,21,14.55,1878
Peter Lougheed Centre,NE,2024,Q1,105,2.12,1072
Peter Lougheed Centre,NE,2024,Q1,170,0.99,551
Foothills Medical Centre,NW,2024,Q3,31,0.5,1233
South Health Campus,SE,2024,Q2,103,9.52,1597
Peter Lougheed Centre,NE,2024,Q4,38,4.87,1958
Foothills Medical Centre,NW,2024,Q3,168,4.28,1113
Foothills Medical Centre,NW,2024,Q1,93,13.19,1840
Foothills Medical Centre,NW,2024,Q3,121,1,1237
Rockyview General Hospital,SW,2024,Q4,125,5.73,1187
Peter Lougheed Centre,NE,2024,Q1,46,21.67,1917
Rockyview General Hospital,SW,2024,Q3,103,8.62,781
Rockyview General Hospital,SW,2024,Q4,59,10.5,645
Rockyview General Hospital,SW,2024,Q3,43,6.6,1719
Foothills Medical Centre,NW,2024,Q2,72,21.27,696
Foothills Medical Centre,NW,2024,Q2,78,8.84,1897
Peter Lougheed Centre,NE,2024,Q4,35,2.38,801
South Health Campus,SE,2024,Q3,24,8.44,1999
South Health Campus,SE,2024,Q4,98,12.07,806
Foothills Medical Centre,NW,2024,Q2,63,13.95,1988
Peter Lougheed Centre,NE,2024,Q1,103,15.05,572
Foothills Medical Centre,NW,2024,Q2,49,7.47,1731
Peter Lougheed Centre,NE,2024,Q1,113,4.7,766
Foothills Medical Centre,NW,2024,Q1,79,6.87,631
Foothills Medical Centre,NW,2024,Q3,169,20.19,1008
South Health Campus,SE,2024,Q4,150,10.97,773
Peter Lougheed Centre,NE,2024,Q1,147,13.37,1921
Foothills Medical Centre,NW,2024,Q1,152,12.28,618
Foothills Medical Centre,NW,2024,Q2,23,2.24,1966
South Health Campus,SE,2024,Q2,106,3.95,1599
Foothills Medical Centre,NW,2024,Q1,44,13.06,1458
South Health Campus,SE,2024,Q4,76,3.62,1421
